丽江	玉龙雪山,龙泉寺,丽江古城,束河古镇,木府	牦牛肉,洋芋鸡,丽江雪桃,牦牛酸奶,松菌	茶马古道,火把节,纳西族,丽江木氏土司,印象·丽江
海北	卡约文化遗址,仙米森林公园,黑河大峡谷,祁连山草原,西海郡	牛肉面,奶茶,酿皮,甜醅,尕面片	皮影戏,剪纸,刺绣,藏语,祭海
博尔塔拉	赛里木湖,草原石人,塞里木湖,哈日图热格风景区,怪石峪风景名胜区	烤全羊,馕,烤包子,羊肉串,抓饭	蒙古语,萨满教,蒙古族,维吾尔族,藏传佛教
塔城	鹿角湾,塔斯提风景区,巴克图口岸,乌苏温泉,蒙古庙草场	椒麻鸡,大盘鸡,风干肉,沙湾大盘鸡,纳仁	达斡尔族刺绣,维吾尔族,哈萨克族,达斡尔人,鲁日格勒舞
周口	太清宫,太昊陵,老君台,老子故里,明道宫	逍遥镇胡辣汤,逍遥胡辣汤,妈糊,太康肘子,酱黄花菜	淮阳荷花节,庙会,淮阳县泥泥狗,淮阳太昊陵人祖庙会,太康道情
平顶山	三苏园,三苏墓,中原大佛,尧山,叶县县衙	胡辣汤,锅盔,烩面,凉皮,饸饹面	豫剧,曲剧,马街书会,鹰城广场,叶公
鹤壁	云梦山,大伾山,浮丘山,古灵山,阿斗寨	胡辣汤,烩面,饸饹面,籽馍,淇河三珍	社火,泥咕咕,大平调,浚县石雕,黄河古陶
许昌	西湖公园,曹丞相府,春秋楼,文峰塔,紫云书院	胡辣汤,烩面,焖面,水煎包,热豆腐	豫剧,曲剧,越调,钧瓷,三国文化
商丘	商丘古城,应天府书院,火神台,木兰祠,燧人氏陵	水激馍,糖糕,薛湖牛肉水煎包,烧饼,羊肉烩面	三商文化,木兰传说,月下老人,钻木取火,梁园吟
日照	万平口,浮来山,日照海滨国家森林公园,文心广场,五莲山风景区	文蛤,锅饼,日照绿茶,莒县全羊汤,五莲樱桃	农民画,黑陶,文心雕龙,日照农民画,黑陶文化
济源	小浪底,五龙口,王屋山,大明寺,西滩景区	捞面条,鸡蛋不翻,土馍,麻糖,卤肉夹馍	豫剧,黄河号子,愚公移山,怀调,天坛砚
和田	安迪尔古城,尼雅遗址,阿克斯皮力古城,买力克阿瓦提,约特干遗址	馕,烤包子,羊肉串,和田玉枣,杂克尔	丝绸之路,和田玉,和田玉籽料,和田玉雕,和田丝绸
阿拉尔	胡杨林,阿拉尔市军垦博物馆,阿拉尔金草滩,三五九旅屯垦纪念馆,塔克拉玛干沙漠	烤全羊,烤羊肉串,拉条子,馕,新疆大盘鸡	古尔邦节,开斋节,维吾尔族,维吾尔语,中国·阿拉尔首届红枣文化节
图木舒克	唐王城,怪石沟,化石沟,西海湾风景旅游区,西海湾	拉面,馓子,油塔子,红枣,馕	旱船,维吾尔语,踩高跷,刀郎麦西来甫,刀郎木卡姆
菏泽	黄河大桥,蚩尤墓,秦王避暑洞,齐鲁会盟台,孙膑旅游城	胡辣汤,羊肉汤,糖糕,水煎包,手抓饼	豫剧,四平调,牡丹文化,伏羲,鲁锦
枣庄	龟山,东湖,台儿庄古城,铁道游击队纪念碑,台儿庄大战纪念馆	辣子鸡,煎饼,糁汤,煎饼卷大葱,枣庄菜煎饼	皮影戏,鲁南花鼓,滕县松枝鸟,伏里土陶,洛房泥玩具
济宁	张良墓,微山湖,孔府,孔林,曲阜孔庙	煎饼,煎饼果子,把子肉,糁汤,鲁菜	炎帝,黄帝,武松,山东梆子,吕剧
克孜勒苏柯尔克孜	坎儿井,,突厥石人,三仙洞,莫尔佛塔	馕,拉面,馓子,油塔子,撒子	汉藏语系,阿尔泰语系,印欧语系,玛纳斯,江格尔
喀什	帕米尔高原,莎车,喀什大巴扎,卡拉库里湖,莎车王墓	烤全羊,葡萄,红枣,羊肉,无花果	旱船,维吾尔族,维吾尔语,石头城,喀什老城
濮阳	仓颉陵,澶渊之盟,戚城文物保护区,将军渡,毛楼生态旅游区	胡辣汤,烩面,凉皮,壮馍,牛肉耗辣椒	四平调,东北庄杂技,清丰柳子戏,南乐目连戏,罗卷戏
阿克苏	库车清真大寺,克孜尔千佛洞,库木吐拉石窟,麦吾拉乃穆清真寺,昭怙厘大寺	馕,拉面,馓子,油塔子,红枣	龟兹文化,多浪文化,麦西来甫,热瓦普,卡伦琴
东营	山东黄河三角洲国家级自然保护区,黄河入海口,孙武祠,孙武湖,黄河水体纪念碑	文蛤,水煎包,虎头鸡,利津水煎包,黄河口大闸蟹	吕剧,舞龙,青州府花边,草编,陈官短穗花鼓
三门峡	函谷关,仰韶村遗址,三门峡站,鸿庆寺石窟,虢国墓地	凉粉,糖糕,灵宝大枣,大营麻花,观音堂牛肉	豫剧,秦腔,刺绣,社火,扬高戏
巴音郭楞	铁门关,博斯腾湖,巴音郭楞蒙古自治州博物馆,莲花湖,金沙滩	烤全羊,烤羊肉串,拉条子,馕,手抓饭	维吾尔族刺绣,楼兰文化,十二木卡姆,维吾尔族花毡、印花布织染技艺,麦西热甫
伊犁	赛里木湖,那拉提,果子沟,伊犁将军府,特克斯	拉条子,馕,面肺子,烤包子,大盘鸡	锡伯族
烟台	农博园,南山公园,栈桥,蓬莱阁,养马岛	鲅鱼饺子,葱烧海参,鲍鱼,焖子,莱阳梨	胶州秧歌,胶东大鼓,烟台话,亚洲沙滩运动会,海阳大秧歌
嘉峪关	嘉峪关,嘉峪关长城,嘉峪关关城,长城第一墩,悬臂长城	烤羊腿,烤羊肉,烧壳子,搓鱼面,手抓肉	秦腔,陇剧,霸王鞭,夜明珠,定城砖
天水	净土寺,麦积山,麦积山石窟,伏羲庙,甘谷大象山	凉粉,浆水面,打卤面,秦安蜜桃,面鱼	秦腔,伏羲文化,大地湾文化,浴佛节,天水秧歌
甘南	桑科草原,冶力关,拉卜楞寺,达宗湖,米拉日巴佛阁	青稞酒,奶渣,蕨麻,盖碗茶,砖茶	酥油茶,雪顿节,沐浴节,望果节,藏传佛教
白银	会师塔,会师楼,铁木山,法泉寺,白银人民广场	擀面皮,猫耳朵,大肉面,清汤羊肉,靖远羊羔肉	秦腔,秦剧,古琴,眉户戏,小调
定西	威远楼,仁寿山,通渭温泉,贵清山,遮阳山	浆水面,马铃薯,醪糟,洋芋搅团,陇西腊肉	秦腔,秦剧,通渭木雕,定西剪纸,洮砚
武威	文庙,白塔寺,鸠摩罗什寺,武威沙漠公园,天祝三峡国家森林公园	拉条子,酿皮,凉面,面皮,葡萄酒	煎饼,秦腔,凉州贤孝,秦剧,凉州民歌
陇南	万象洞,武都千坝草原,哈达铺红军长征纪念馆,鸡峰山,官鹅沟国家森林公园	锅盔,擀面皮,羊杂碎,洋芋搅团,羊肚菌	秦腔,花灯戏,陇剧,西和乞巧节,高山戏
廊坊	天下第一城,白塔寺,龙冢古墓,李少春纪念馆,齐圪垯汉墓	疙瘩汤,驴肉火烧,金丝小枣,香河肉饼,薛家窝头	京剧,北京琴书,河北梆子,评剧,冀鲁官话
庆阳	周祖陵,北石窟寺,陆武成,小崆峒山,南梁革命纪念馆	臊子面,肉夹馍,饸饹面,黄花菜,羊羔肉	秦腔,曲剧,陇剧,香包,黄帝内经
渭南	华山,处女泉,精进寺塔,桥陵,仓颉庙	臊子面,凉粉,荞面饸饹,凉皮,石子馍	秦腔,阿宫腔,碗碗腔,老腔,同州梆子
张掖	焉支山,山丹军马场,汉明长城,甘州古塔,马蹄寺	臊子面,凉粉,拉条子,大肉面,大盘鸡	秦腔,眉户,陇剧,旱船,霸王鞭
晋城	白马寺,青天河,净影寺,怀覃会馆,峰林峡	素氽汤,高平烧豆腐,泽州甜柿,阳城烧肝,烧大葱	泽州鼓书,泽州四弦书,晋城吴王庙,泽州秧歌,晋城剪纸
临夏	黄河三峡,刘家峡,炳灵寺石窟,太极湖,太极岛	锅盔,牛肉面,酿皮,黄河鲤鱼,炒面片	秦腔,陇剧,黄河号子,临夏彩绘,临夏花儿
临汾	黄河壶口瀑布,平阳鼓楼,尧庙,太岳山国家森林公园,荀子文化园	饸饹面,荞麦灌肠,擦圪蚪,油炸馓子,乡宁白面油糕	蒲剧,威风锣鼓,大槐树祭祖习俗,天塔狮舞,翼城花鼓
商洛	龟山,天竺山,牛背梁国家森林公园,商山四皓碑林园,凤冠山	锅盔,搅团,菠菜面,粽子,牛筋面	秦腔,商洛花鼓,洛南静板书,商洛道情戏,汉调二黄
酒泉	莫高窟,敦煌古城,月牙泉,阳关,敦煌雅丹国家地质公园	拉条子,油塔子,油酥馍,甜水面,瓜州蜜瓜	越剧,夜光杯雕,酒泉夜光杯,酒泉古代岩刻画,东晋壁画
平凉	崆峒山,云崖寺,荆山,王母宫,龙泉寺	臊子面,羊肉泡馍,凉粉,擀面皮,搅团	秦腔,陇剧,纸织画,马社火,陇东皮影
铜川	香山,药王山,福地湖,玉华宫,大香山寺	锅盔,糖糕,油茶,饸饹,米糕	豫剧,秦腔,眉户,碗碗腔,耀州窑
金昌	钟鼓楼,金水湖,北海子公园,金川公园,骊靬遗址	手抓羊肉,黄焖羊肉,羊肉垫卷子,粉汤,双湾西瓜	秦腔,眉户,陇剧,永昌县卍字灯俗,民勤小曲
咸阳	汉阳陵,乾陵,咸阳湖,杨贵妃墓,咸阳宫	锅盔,biangbiang面,肉夹馍,豆腐脑,搅团	秦腔,汉调桄桄,眉户,阿宫腔,弦板腔
衡水	河北衡水湖国家级自然保护区,宝云塔,周窝音乐小镇,周亚夫墓,景县舍利塔	深州蜜桃,黄韭,衡水老白干,饶阳豆腐脑,武邑扣碗	河北梆子,深州黑陶,鼻烟壶,武强年画,衡水内画
吕梁	北武当山,玄中寺,碛口古镇,碛口,卦山	莜面,凉皮,油炸糕,洋芋擦擦,面皮	晋剧,晋语,秧歌,碗碗腔,柳林盘子
榆林	白云山,红碱淖,榆林卫城,李自成行宫,易马城遗址	手抓羊肉,油旋,凉皮,马蹄酥,洋芋擦擦	陕北窑洞,陕北说书,陕北秧歌,陕北民歌,定边剪纸艺术
长治	南涅水石刻馆,太行龙洞,八路军文化园,天脊山,八路军太行纪念馆	甩饼,沁州黄小米,长治黑圪条,长治烩面,上党糊肘子	襄垣鼓书,黎侯虎,上党落子,上党八音会,上党堆锦
朔州	西山公园,释迦塔,朔州市紫金山自然保护区,大安寺,崇福寺	羊杂割,油糕,怀仁糖干炉,揪片,莜面栲栳	垒旺火,北路梆子,广武汉墓群,骡驮轿,朔州秧歌戏
忻州	情人谷,老牛湾,五台山,雁门关,忻州北城门楼	焖面,羊杂碎,过油肉,神池月饼,忻州瓦酥	二人台,神池道情,五台山佛乐,定襄面塑,挠羊赛
固原	六盘山,须弥山石窟,火石寨,,老龙潭	凉皮,麻食,马铃薯,土豆,须弥山	秦腔,花儿,回族音乐,回族服饰,方棋
晋中	镇国寺,张壁古堡,绵山,双林寺,乔家大院	猫耳朵,刀削面,贯馅糖,壶瓶枣,平遥碗托	晋剧,晋语,花灯,踩高跷,太谷秧歌
乌兰察布	辉腾锡勒草原,集宁战役纪念馆,黄花沟旅游区,苏木山,岱海	莜面,饸饹,奶豆腐,卓资山熏鸡,莜面鱼鱼	呼麦,安代舞蹈,敖包节,东路二人台,察哈尔婚礼
包头	希拉穆仁草原,包头南海湿地景区,五当召,北方兵器城,成吉思汗草原生态园	莜面,稍美,焙子,奶酪,手扒肉	二人台,呼麦,包头话,漫瀚剧,脑阁
吴忠	一百零八塔,同心清真大寺,青铜峡旅游区,牛首山寺庙群,中华黄河坛	手抓羊肉,酿皮,羊杂碎,油香,馓子	秦腔,回族音乐,回族服饰,回族医药,宁夏回族民间武术
鄂尔多斯	成吉思汗陵,成吉思汗广场,郡王府,响沙湾,响沙湾旅游景区	烤全羊,酿皮,莜面,焖面,伊金霍洛旗	晋语,那达慕,蒙古族,鄂尔多斯婚礼,蒙族舞
中卫	沙坡头,中卫岩画,天都山石窟,海原清真大寺,石空寺石窟	马铃薯,硒砂瓜,中宁枸杞,清蒸鸽子鱼,中宁蒿子面	秦腔,回族音乐,回族服饰,回族民歌,舞龙
石嘴山	贺兰山岩画,韭菜沟,星海湖,北武当庙,马兰花大草原	手抓羊肉,凉皮,油香,羊羔肉,枸杞	秦腔,查拳,回族民歌,回族民间器乐,回回十八肘
乌海	乌兰布和沙漠,乌海市植物园,甘德尔山,乌海科技馆,金沙湾生态旅游区	荞面饸饹,酿皮,混糖月饼,清汤牛尾,土豆粉	二人台,晋剧,晋语,漫瀚剧,翻子拳
呼伦贝尔	呼伦贝尔草原,牙克石凤冠滑雪场,满洲里国门,海拉尔要塞,嘎仙洞	烤全羊,奶茶,手把肉,羊肉串,手扒肉	马头琴,那达慕,呼麦,萨满,四胡
葫芦岛	兴城古城,碣石宫,葫芦山庄,觉华岛,兴城温泉	干豆腐,虹螺岘干豆腐,雷家店薄皮核桃,杏仁米粥,六股河鸭蛋	长锦小片,朝鲜族,布依族,侗族,古筝
兴安盟	科尔沁草原,阿尔山温泉,察尔森水库,图牧吉国家级自然保护区,乌兰夫办公旧址	锅包肉,烤全羊,冻柿子,羊杂碎,朝鲜冷面	二人转,马头琴,那达慕,东北大秧歌,
阳泉	藏山,狮脑山,百团大战纪念碑,娘子关瀑布,娘子关	焖面,过油肉,不烂子,莜面栲栳栳,平定黄瓜干	豫剧,二人台,晋剧,襄垣鼓书,阳泉评说
通辽	锅包肉,通辽机场,大青沟,珠日河牧场,珠日河草原	杀猪菜,烤冷面,荞面,西辽河,风干牛肉干	马头琴,安代舞蹈,科尔沁蒙古剧,乌力格尔,好来宝
锡林郭勒盟	贝子庙,多伦诺尔,锡林郭勒草原,乌珠穆沁草原,山西会馆	烤全羊,莜面,手把肉,拔丝奶豆腐,奶豆腐	马头琴,那达慕,呼麦,四胡,胡尔沁说书
阿拉善盟	额济纳胡杨林,哈布茨盖怪石林,贺兰山国家狩猎场,敖伦布拉格大峡谷,延福寺	糌粑,奶皮子,奶酪条,奶酒,炒米	牛羊肉烹制技艺,沙力搏尔式摔跤,查玛内,阿拉善左旗地毯,蒙古族养驼习俗
朝阳	凤凰山,朝阳南塔,朝阳双塔,清风岭,朝阳北塔	粘豆包,大酱,东北大拉皮,荆花蜜,干白菜	二人转,刺绣,评剧,佛教,三燕文化
巴彦淖尔	乌兰布和沙漠,乌梁素海,乌拉特草原,镜湖,纳林湖	酿皮,焖面,华莱士瓜,河套蜜瓜,河套硬四盘	蒙古语,二人台,晋语,蒙古族,蒙古舞
鞍山	二一九公园,汤岗子温泉,千山风景区,玉佛苑,千山玉佛苑	锅包肉,南果梨,东北大拉皮,牛庄馅饼,鞍山肉枣	二人转,东北官话,伊斯兰教,高跷,道教
锦州	海棠山,锦州世博园,笔架山风景区,闾山,锦州笔架山	干豆腐,烀饼,锦州烧烤,沟帮子熏鸡,锦州小菜	东北官话,长锦小片,医巫闾山满族剪纸,锦州皮影戏,辽西高跷
白山	青山湖,长白山天池,长白山景区,长白山国际度假区,望天鹅	锅包肉,朝鲜冷面,猪肉炖粉条,打糕,地三鲜	东北官话,朝鲜族,满族文化,白山赋,白山黑水
通化	龙泉寺,玉皇山,三角龙湾,五女峰国家森林公园,杨靖宇烈士陵园	锅包肉,冷面,榛蘑,葡萄酒,通化葡萄酒	东北官话,朝鲜族,满语,通化赋,新石器时代遗址
丹东	月亮岛,凤凰山,大鹿岛,丹东溥仪东行宫,鸭绿江断桥	朝鲜冷面,白肉血肠,冷面,酸汤子,焖子	胶辽官话,单鼓,上打家什高跷,八河川皮影戏,满族荷包
延边	长白山景区,六顶山,防川,正觉寺,满天星风景区	锅包肉,朝鲜冷面,烧烤,打糕,粘豆包	二人转,朝鲜族,高丽,象帽舞,长鼓舞
吉林	凤凰山,长白山天池,北山公园,松花湖,世纪广场	锅包肉,杀猪菜,猪肉炖粉条,松花蛋,吉菜	文庙,朝鲜族,摇橹人,吉林国际雾凇冰雪节,吉林市歌舞团
本溪	本溪湖,五女山,观音阁,铁刹山,本溪国家地质公园	锅包肉,羊肉汤,板栗,山野菜,烤豆腐皮	东北官话,满语,中国枫叶之都,乞粒舞,本溪话
营口	营口辽河老街,辽河公园,楞严禅寺,仙人岛,营口西炮台	烧烤,烤牛肉,鲅鱼,玻璃牛,营口大酱	庙会,佛教,胶辽官话,基督教,营口话
四平	叶赫古城,四平战役纪念馆,偏脸城遗址,英雄城,二龙湖	熏肉大饼,玉米,李连贵大饼,熏兔,李连贵熏肉大饼	朝鲜族,东北大秧歌,满族,四平青年,东方马德里
抚顺	清永陵,赫图阿拉城,元帅林国家森林公园,三块石国家森林公园,西露天矿	锅包肉,杀猪菜,朝鲜冷面,疙瘩汤,麻辣拌	满族,东北大鼓,满族剪纸,煤雕,走马灯
盘锦	红海滩,辽河美术馆,辽河碑林,盘锦湖滨公园,双台河口国家级自然保护区	锅包肉,文蛤,皮皮虾,烤冷面,蛤蜊	东北官话,辽河,兴隆大家庭,鹤望兰花,槐
牡丹江	东北虎林园,莲花湖,镜泊湖国家级风景名胜区,镜泊湖,双峰林场	杀猪菜,煎饼合子,烤冷面,松菌,响水大米	二人转,评剧,萨满祭祀,东北大鼓,满族服饰
天门	陆羽纪念馆,西塔寺,陆羽故园,陆羽亭,石家河遗址群	蒸菜,天门锅盔,张港火烧粑,天门三蒸,天门蒸菜	,天门花鼓戏,天门皮影戏,天门话,石家河文化
鸡西	珍宝岛,兴凯湖,黑龙江东方红湿地国家级自然保护区,城子河区,黑龙江兴凯湖国家级自然保护区	杀猪菜,烤冷面,酸菜,冷面,榛蘑	二人转,,东北秧歌,新开流文化,地窖
辽源	龙首山,寒葱顶国家森林公园,福寿宫,辽源国家矿山公园,辽源杨木水库	猪肉炖粉条,地三鲜,榛蘑,地皮菜,松伞蘑	二人转,农民画,满族,东北文化,琵琶
白城	吉林莫莫格国家级自然保护区,莫莫格,嫩江湾国家湿地公园,吉林向海国家级自然保护区,鹤舞向海	锅包肉,杀猪菜,猪肉炖粉条,松花蛋,玉米	二人转,东北官话,朝鲜族,满族,蒙古族
铁岭	龙首山,莲花湖国家湿地公园,银冈书院,清河省级旅游度假区,清河水库	羊肉汤,榛蘑,牛肉火勺,榛子,烤烟	二人转,东北官话,满族,满语,刘老根
松原	龙华寺,吉林查干湖国家级自然保护区,狼牙坝,长山明珠园,哈达山	锅包肉,酸菜,豆包,铁锅炖鱼,鳙鱼	东北官话,肃慎,满族,查干湖冬捕,满族新城戏
七台河	七台河市革命烈士陵园,西大圈森林公园,西大圈旅游区,桃山公园,吉兴河水库	锅包肉,冻柿子,杀猪菜,猪肉炖粉条,地三鲜	忽悠,冬泳,旮旯,手闷子,七台河山湖艺术节
双鸭山	七星峰,珍宝岛,安邦河国家湿地公园,青山国家森林公园,雁窝岛城址	鹿茸,木耳,蘑菇,松子,猴头	二人转,东北官话,俄罗斯工艺品,东北大秧歌,普通话
鹤岗	小兴安岭原始森林公园,名山岛,中俄黑龙江三峡,白龙潭,俄罗斯风情园	鹿茸,木耳,蘑菇,松子,猴头	二人转,东北官话,俄罗斯工艺品,东北大秧歌,哈喇子
辽阳	太子河,白塔,石洞沟森林公园,文庙,东京陵	南果梨,塔糖,山楂,香水梨干,老世泰上杂糕	二人转,东北官话,汉语,满族,满语
伊春	水上公园,汤旺河石林风景区,红星湿地国家级自然保护区,乌伊岭国家级自然保护区,新青白头鹤国家级自然保护区	人参,鹿茸,榛子,炖山珍,黄花菜蘑菇汤	朝鲜族,满族,蒙古族,回族,宁古塔
保定	千佛山,清苑县东闾教堂,东闾中华圣母堂,白洋淀,直隶总督署	豆腐脑,驴肉火烧,板面,火烧,直隶官府菜	哈哈腔,保定三宝,野火春风斗古城,曲阳石雕,定州秧歌
大兴安岭	北极村,雪乡,铁道兵开发大兴安岭纪念碑,呼中自然保护区,李金镛祠堂	锅包肉,冻柿子,杀猪菜,东北炖菜,小鸡炖蘑菇	蒙古族,鲜卑,鄂伦春族,鄂温克人,东北方言
黑河	五大连池风景区,胜山要塞,大黑河岛,火烧山,爱辉历史陈列馆	苏波汤,木耳,猴头菇,蓝莓,蕨菜	鄂伦春,满族,蒙古族,回族,亲亲的黑河
北海	东坡亭,银滩,冠头岭,北海涠洲岛,北海海底世界	沙蟹汁	北海足球
德州	德州新湖,黄河故道森林公园,红坛寺森林公园,减河湿地公园,德州新湖风景区	老豆腐,吊炉烧饼,金丝小枣,德州扒鸡,西瓜	德州黑陶,武城架鼓,八极拳,武城运河船工号子,马堤吹腔
萍乡	武功山,孽龙洞,安源路矿工人运动纪念馆,仰山文塔,鹅湖公园	剁椒鱼头,霉豆腐,炒粉,艾米果,莲花血鸭	赣语,莲花落,采茶戏,毛主席去安源,赣剧
亳州	万佛塔,天静宫,花戏楼,薛阁塔,曹操运兵道	锅贴,格拉条,干扣面,牛肉馍,蒙城油酥烧饼	豫剧,泗州戏,道教,淮北梆子戏,五禽戏
大同	云冈石窟,悬空寺,恒山,善化寺,慈云寺	大同刀削面,油炸糕,浑源凉粉,阳高杏脯,大同羊杂	二人台,晋剧,广灵剪纸,大同话,大同铜器
宁德	白水洋,福鼎俞山岛,福安,翠屏湖,霞浦	肉燕,牛肉丸,光饼,鼎边糊,对虾	闽剧,畲族,畲族民歌,柘荣布袋戏,四平戏
黔东南	肇兴侗寨,岜沙苗寨,云台山,西江千户苗寨,镇远古镇	酸汤鱼,米粉,锅巴粉,牛瘪,麻江县	侗族大歌,苗年,芦笙节,苗族姊妹节
荆州	关帝庙,金凤广场,荆州古城,文星楼,蓝田生态旅游风景区	热干面,三鲜豆皮,油焖大虾,豆皮,珍珠丸子	楚文化,花牌,马山民歌,荆州花鼓戏
南平	武夷山,万木林,宝山,五凤楼,天成奇峡	鼠曲粿,武夷岩茶,建瓯光饼,浦城豆腐丸,酸枣糕	越剧,吴语,闽语,建瓯挑幡,游春戏
漳州	南靖土楼,漳州滨海火山国家地质公园,云水谣,东山岛,赵家堡	荔枝肉,沙茶面,姜母鸭,润饼,四果汤	客家语,妈祖,南音,闽南语,歌仔戏
三明	桃源洞,将乐玉华洞,麒麟山,鳞隐石林,三明格氏栲国家森林公园	青云山,粿条,糍粑,扁肉,武夷山	客家语,闽语,客家人,客家,客家祖地
扬州	文游台,神居山,盂城驿,净土寺塔,清水潭旅游度假区	高邮双黄鸭蛋,秦邮董糖,界首茶干,蒲包肉,高邮酱油面	龙虬文化,高邮民歌,扬剧,2013中国扬州鉴真国际半程马拉松赛,扬州话
黄冈	东坡赤壁,遗爱湖,天堂寨,李时珍陵园,红安烈士陵园	板栗烧鸡,粽子,鱼糕,藕粉,巴河莲藕	黄梅戏,文曲戏,黄梅挑花,活字印刷术,黄冈竹楼记
运城	关帝庙,五老峰,永乐宫,秋风楼,莺莺塔	羊肉泡馍,凉皮,扯面,油泼面,刀削面	眉户,蒲剧,西厢记,舜耕历山,黄帝战蚩尤
张家口	坝上草原,大境门,中华三祖堂,官厅水库,清远楼	莜面,驴肉火烧,口蘑,柴沟堡熏肉,菜焙子	二人台,晋语,打树花,黄帝城,三祖文化
驻马店	中原官话,嵖岈山,宿鸭湖,宝严寺塔,薄山湖	豆腐脑,麻辣烫,馓子,烙馍,麻叶子	豫剧,曲剧,重阳节,梁祝故里,蔡姓
遵义	娄山关,遵义会议会址,赤水大瀑布,红军山,金鼎山	丝娃娃,黄粑,肠旺面,豆腐圆子,羊肉粉	地戏,仡佬族,茅台,傩文化,沙滩文化
唐山	南湖公园,清东陵,唐山抗震纪念碑,李大钊故居纪念馆,唐山南湖公园	缸炉烧饼,花生酥糖,蜂蜜麻糖,迁西板栗,棋子烧饼	评剧,唐山话,唐山皮影,乐亭大鼓,唐剧
六安	八公山,万佛山,大别山,万佛湖,张店中学	狮子头,六安臭干子,霍山黄芽,寿县牛肉汤,蒿子粑粑	黄梅戏,庐剧,舒城贡席,寿春楚文化,皋陶文化
滨州	孙子兵法城,魏氏庄园,碣石山,杜受田故居,秦皇台	水煎包,锅子饼,芝麻酥糖,大山烧鸡,咸鸭蛋	莲花落,山东梆子,吕剧,滨州老粗布,滨州剪纸
新余	仙女湖,抱石公园,竹叶青茶,孔目江国家湿地公园,仰天岗森林公园	辣椒炒肉,炒粉,扎粉,新余蜜桔,螺蛳	赣语,花鼓戏,采茶戏,新余话,天工开物
内江	隆昌石牌坊,高峰寺,内江大自然温泉,静宁寺,重龙山	内江牛肉面,黄老五花生酥,大千干烧鱼,大千鸡块,极品溢香鸡	文庙,牛灯舞,盘破门,资中武庙
眉山	三苏祠,东坡湖公园,中岩寺,黑龙滩,眉山黑龙滩风景区	东坡肘子,东坡鱼,东坡松花蛋,干巴牛肉,甜皮鸭	东坡国际文化节,道教文化,青神竹编
新乡	跑马岭,关帝庙,八里沟,比干庙,万仙山景区	胡辣汤,烩面,串串香,凉粉,焖面	豫剧,曲剧,二夹弦,汲冢书,马皮舞
宜宾	老君山,云台山,蜀南竹海,竹海,兴文石海	黄粑,燃面,宜宾燃面,猪儿粑,五粮液	大观楼,酒都,李庄,万里长江第一城,南丝绸之路
泸州	法王寺,报恩塔,画稿溪,龙脑桥,黄荆老林	黄粑,猪儿粑,豆花,合江荔枝,古蔺麻辣鸡	川剧,油纸伞,四川清音,泸州老窖,长江石
乐山	东坡楼,峨眉山,乐山大佛,凌云山,乐山睡佛	跷脚牛肉,甜皮鸭,狼牙土豆,罗城古镇,泉水鱼	乐山竹园烈士纪念园,朱氏节孝坊,熊克武故居,雷畅故居
攀枝花	大黑山森林公园,望月楼,红格温泉,攀枝花公园,海塔风景区	盐边牛肉,芒果,油底肉,羊肉米线,鱼头火锅	京剧,川剧,苴却砚,约德节,打跳
安阳	珍珠泉,文峰塔,殷墟,中国文字博物馆,殷墟博物馆	烩面,皮渣,扁粉菜,道口烧鸡,老庙牛肉	邺城,甲骨文,周易,殷商文化,中国航空运动之都
雅安	喇叭河,青衣江,碧峰峡,二郎山,蒙顶山	燃面,甜水面,砂锅雅鱼,蒙顶茶,边茶	川剧,抬阁,荥经砂器,七里夺标民俗节,绿林派
湘潭	糖油粑粑,和平公园,仙女山,水府庙,毛泽东同志故居	臭豆腐,冰糖湘莲,油粑粑,灯芯糕,湘潭槟榔	湘剧,皮影戏,湘语,花鼓戏,巫家拳
凉山	关门山,观海湾,螺髻山仙人洞,邛海,彝海	酥油茶,手抓羊排,南涧跳菜,百味荞饼,苏里玛酒	彝族火把节,西昌大通门,昭觉好谷东汉石表,青龙寺
自贡	仙市古镇,桫椤谷,恐龙灯会,三多寨,青山岭森林公园	水煮牛肉,富顺豆花,牛佛烘肘,冷吃兔,盐帮菜	自贡灯会,盐业历史博物馆,自贡话,西秦会馆,竹丝扇
遂宁	广德寺,灵泉寺,中国死海,高峰山,赤城湖	串串香,凉粉,凉面,豆腐干,豆腐皮	卓筒井
巴中	诺水河,章怀寺,佛头山森林公园,镇龙山国家森林公园,诺水河国家级风景名胜区	香菇炖腊肉,长赤翡翠米	巴中皮影,光雾山红叶节
资阳	安岳石刻,陈毅纪念馆,简阳三岔湖,字库山,王褒墓	担担面,简阳羊肉汤	麻将,三贤故里
广安	翠湖,顾县古镇,金城山森林公园,象鼻河,越江河瀑布	凉虾,岳池米粉,西板豆豉,麻辣牛肉,中和豆花	岳池农家,岳池灯戏,云童舞,广安麻将,双枪老太婆
广元	牛头山,剑门蜀道,唐家河,千佛崖摩崖造像,柏林湖湿地公园	广元凉面,苍溪雪梨,女皇蒸凉面,广元酸菜,蒸凉面	广元女儿节,白花石刻,苍溪梨文化博览园,苍溪县红军渡景区,麻柳刺绣
达州	五峰山国家森林公园,仙女山,净土寺,清河古镇,莲花湖	米豆腐,凉虾,燃面,灯影牛肉,东柳醪糟	大竹竹唢呐,巴人故里,麻将,石桥火龙,元九登高节
